,Comp_Dis,A.Entropy,Labels,Comp_Behav,B.Entropy,r
0,IC-01,0.7700745741835242,Temporo-Limbic,IC-18,0.6361679795031173,0.6153399634283461
1,IC-02,0.6460464475318438,Fronto-Striatal,IC-14,0.6366985785548807,0.6151892298367672
2,IC-03,0.7711103593052614,Ventral Attention,IC-16,0.8331989980306779,0.5234963580208881
3,IC-11,0.6371848813647444,Auditory,IC-07,0.43744611632672026,0.5151313802670661
4,IC-20,0.0,Medial Visual,IC-20,0.3418079030679035,0.48192337792608486
5,IC-09,0.5922165755915787,Cognitive Control,IC-17,0.755367518822411,0.41616176448252173
6,IC-12,0.8077176712810781,Salience,IC-04,0.8361086460057109,0.43135012318919785
7,IC-07,0.4656764905873957,R. Cent. Executive,IC-09,0.7347165033640235,0.3885925886056456
8,IC-16,0.738474975944676,L. Cent. Executive,IC-03,0.7470714259104475,0.3359827099770044
9,IC-05,0.603177315528946,Pulvinar (Thal.),IC-06,0.6270575152165131,0.5447756430371139
10,IC-15,0.6797696316730447,MDN (Thal.),IC-06,0.6270575152165131,0.41297198519825523
11,IC-14,0.563028166743469,Anterior DMN,IC-13,0.47334678794278573,0.37728651790767176
12,IC-18,0.46845769065789944,Posterior DMN,IC-13,0.47334678794278573,0.3053320412037223
13,IC-10,0.5049951852697431,Hand Sensorimotor,IC-08,0.5572536577683337,0.3242280778165134
14,IC-10,0.5049951852697431,Mouth Sensorimotor,IC-12,0.7534475238415999,0.33793142681768984
